1	1	52	221	141.0
1	1	26	7	107.0
1	1	30	25	121.0
1	1	51	6	95.0
1	1	62	17	125.0
1	1	103	197	123.0
1	1	48	99	126.0
1	1	36	94	127.0
1	1	54	129	137.0
1	1	28	151	131.0
1	1	27	137	134.0
1	1	10	160	136.0
1	1	26	163	122.0
1	1	42	169	128.0
1	1	34	222	129.0
1	1	22	215	135.0
1	1	6	209	146.0
1	1	11	225	143.0
1	1	25	233	139.0
1	1	40	210	134.0
1	1	65	160	130.0
1	1	38	267	121.0
1	1	26	258	140.0
1	1	33	247	133.0
1	1	8	252	142.0
1	1	57	243	146.0
1	1	246	379	138.0
1	1	189	384	132.0
1	1	176	384	132.0
1	1	196	369	136.0
1	1	135	167	139.0
1	1	141	236	131.0
1	1	335	353	144.0
1	1	311	351	143.0
1	1	327	339	126.0
1	1	360	374	137.0
1	1	366	413	127.0
1	1	370	398	139.0
1	1	383	424	138.0
1	1	393	417	152.0
1	1	379	413	158.0
1	1	286	276	125.0
1	1	289	293	142.0
1	1	299	309	117.0
1	1	422	240	74.0
1	1	437	258	173.0
1	1	382	480	143.0
1	1	424	463	161.0
1	1	395	478	135.0
1	1	393	506	146.0
1	1	361	538	142.0
1	1	404	538	174.0
1	1	385	552	146.0
1	1	419	554	130.0
1	1	429	602	144.0
1	1	445	611	149.0
1	1	463	645	168.0
1	1	473	598	144.0
1	1	484	609	162.0
1	1	432	667	170.0
1	1	324	674	142.0
1	1	320	687	144.0
1	1	322	716	144.0
1	1	323	657	144.0
1	1	339	665	130.0
1	1	354	654	142.0
1	1	348	677	148.0
1	1	360	690	151.0
1	1	350	700	146.0
1	1	323	701	152.0
1	1	360	713	146.0
1	1	302	738	148.0
1	1	291	747	142.0
1	1	411	718	139.0
1	1	394	717	152.0
1	1	381	729	152.0
1	1	418	696	144.0
1	1	272	698	151.0
1	1	269	776	146.0
1	1	254	777	140.0
1	1	244	791	149.0
1	1	283	786	143.0
1	1	298	791	136.0
1	1	266	757	146.0
1	1	308	809	151.0
1	1	287	817	152.0
1	1	400	758	152.0
1	1	420	776	147.0
1	1	428	788	145.0
1	1	425	801	159.0
1	1	438	821	152.0
1	1	444	829	157.0
1	1	439	846	144.0
1	1	420	859	129.0
1	1	415	873	119.0
1	1	93	260	148.0
1	1	51	207	130.0
1	1	47	151	130.0
1	1	125	82	124.0
1	1	127	66	128.0
1	1	198	359	136.0
1	1	128	432	132.0
1	1	167	451	140.0
1	1	184	459	149.0
1	1	211	475	146.0
1	1	189	517	128.0
1	1	94	519	141.0
1	1	76	541	148.0
1	1	5	548	133.0
1	1	3	533	142.0
1	1	42	545	141.0
1	1	225	528	138.0
1	1	378	468	151.0
1	1	200	605	139.0
1	1	174	586	144.0
1	1	199	584	126.0
1	1	188	571	141.0
1	1	140	562	137.0
1	1	165	570	129.0
1	1	186	557	129.0
1	1	181	625	140.0
1	1	140	615	147.0
1	1	132	606	136.0
1	1	375	786	138.0
1	1	354	805	147.0
1	1	187	681	142.0
1	1	156	708	137.0
1	1	167	700	134.0
1	1	169	679	152.0
1	1	149	678	144.0
1	1	262	817	137.0
1	1	172	718	143.0
1	1	181	701	136.0
1	1	150	841	146.0
1	1	166	838	147.0
1	1	152	883	139.0
1	1	136	851	139.0
1	1	179	824	155.0
1	1	191	830	142.0
1	1	161	813	139.0
1	1	149	804	142.0
1	1	175	859	143.0
1	1	195	883	141.0
1	1	239	851	149.0
1	1	256	872	131.0
1	1	149	896	152.0
